stamp,id,x,y,z,intensity,time,ring
1782434556.015004,1,-0.371001,0.392903,0.071043,209.000000,2.012129,2
1782434556.015004,1,-0.324617,0.343608,0.080139,150.000000,2.012152,2
1782434556.015004,1,-0.337737,0.355703,0.094422,102.000000,2.012175,2
1782434556.015004,1,-0.277963,0.292105,0.106999,151.000000,2.012221,2
1782434556.015004,1,-0.277302,0.290282,0.117531,160.000000,2.012244,2
1782434556.015004,1,-0.282643,0.294522,0.129854,159.000000,2.012267,2
1782434556.015004,1,-0.281561,0.292266,0.140508,156.000000,2.012290,2
1782434556.015004,1,-0.280275,0.289818,0.151097,153.000000,2.012314,2
1782434556.015004,1,-0.278787,0.287179,0.161612,147.000000,2.012337,2
1782434556.015004,1,-0.277097,0.284353,0.172047,146.000000,2.012360,2
1782434556.015004,1,-0.275204,0.281341,0.182395,146.000000,2.012383,2
1782434556.015004,1,-0.273111,0.278147,0.192648,144.000000,2.012406,2
1782434556.015004,1,-0.277423,0.281250,0.206596,141.000000,2.012429,2
1782434556.015004,1,-0.274871,0.277615,0.216880,136.000000,2.012452,2
1782434556.015004,1,-0.272115,0.273801,0.227045,133.000000,2.012475,2
1782434556.015004,1,-0.281340,0.281609,0.245656,125.000000,2.012499,2
1782434556.015004,1,-0.278042,0.277265,0.256005,118.000000,2.012522,2
1782434556.015004,1,-0.280170,0.278153,0.270684,108.000000,2.012545,2
1782434556.015004,1,-0.276385,0.273367,0.280939,100.000000,2.012568,2
1782434556.015004,1,-0.283958,0.279421,0.301328,96.000000,2.012591,2
1782434556.015004,1,-0.302366,0.295676,0.333085,90.000000,2.012614,2
1782434556.015004,1,-0.396538,0.369420,0.642380,198.000000,2.012822,2
1782434556.015004,1,-0.404091,0.374423,0.685171,208.000000,2.012846,2
1782434556.015004,1,-0.396668,0.365846,0.706346,202.000000,2.012869,2
1782434556.015004,1,-0.397791,0.364952,0.743189,191.000000,2.012892,2
1782434556.015004,1,-0.401734,0.366515,0.787745,183.000000,2.012915,2
1782434556.015004,1,-0.399976,0.362943,0.824745,175.000000,2.012938,2
1782434556.015004,1,-0.401162,0.361924,0.870411,171.000000,2.012961,2
1782434556.015004,1,-0.400852,0.359520,0.916601,168.000000,2.012984,2
1782434556.015004,1,-0.402815,0.359020,0.971880,173.000000,2.013007,2
1782434556.015004,1,-0.406177,0.359619,1.035682,164.000000,2.013031,2
1782434556.015004,1,-0.403870,0.355212,1.091342,154.000000,2.013054,2
1782434556.015004,1,-0.402960,0.351903,1.156420,149.000000,2.013077,2
1782434556.015004,1,-0.405729,0.351570,1.239360,148.000000,2.013100,2
1782434556.015004,1,-0.402874,0.346312,1.314808,150.000000,2.013123,2
1782434556.015004,1,-0.402338,0.342814,1.407519,147.000000,2.013146,2
1782434556.015004,1,-0.405989,0.342513,1.528206,145.000000,2.013169,2
1782434556.015004,1,-0.395976,0.330712,1.613789,197.000000,2.013192,2
1782434556.015004,1,-0.361552,0.299083,1.608550,182.000000,2.013216,2
1782434556.015004,1,-0.329542,0.269629,1.611603,183.000000,2.013239,2
1782434556.015004,1,-0.297361,0.240255,1.612487,185.000000,2.013262,2
1782434556.015004,1,-0.263748,0.210004,1.603376,184.000000,2.013285,2
1782434556.015004,1,-0.232074,0.181479,1.602813,186.000000,2.013308,2
1782434556.015004,1,-0.200364,0.153148,1.600107,190.000000,2.013331,2
1782434556.015004,1,-0.171024,0.126693,1.616069,195.000000,2.013354,2
1782434556.015004,1,-0.139265,0.098719,1.611143,202.000000,2.013377,2
1782434556.015004,1,-0.108427,0.071548,1.615052,202.000000,2.013401,2
1782434556.015004,1,-0.077425,0.044430,1.617885,198.000000,2.013424,2
1782434556.015004,1,-0.045991,0.017314,1.610644,197.000000,2.013447,2
1782434556.015004,1,-0.015013,-0.009568,1.620314,199.000000,2.013470,2
1782434556.015004,1,0.016284,-0.036174,1.610913,204.000000,2.013493,2
1782434556.015004,1,0.047548,-0.062734,1.609437,208.000000,2.013516,2
1782434556.015004,1,0.079297,-0.089689,1.615861,207.000000,2.013539,2
1782434556.015004,1,0.110831,-0.116088,1.612221,210.000000,2.013562,2
1782434556.015004,1,0.143253,-0.143239,1.617424,207.000000,2.013586,2
1782434556.015004,1,0.174988,-0.169417,1.611601,207.000000,2.013609,2
1782434556.015004,1,0.207839,-0.196512,1.613558,209.000000,2.013632,2
1782434556.015004,1,0.242471,-0.225086,1.624143,215.000000,2.013655,2
1782434556.015004,1,0.274598,-0.250999,1.614954,218.000000,2.013678,2
1782434556.015004,1,0.310184,-0.279950,1.623055,218.000000,2.013701,2
1782434556.015004,1,0.344532,-0.307490,1.621183,221.000000,2.013724,2
1782434556.015004,1,0.378897,-0.334819,1.617131,223.000000,2.013747,2
1782434556.015004,1,0.415906,-0.364300,1.621294,238.000000,2.013771,2
1782434556.015004,1,0.451064,-0.391876,1.615636,240.000000,2.013794,2
1782434556.015004,1,0.486101,-0.419125,1.607790,244.000000,2.013817,2
1782434556.015004,1,0.489584,-0.418616,1.503557,143.000000,2.013840,2
1782434556.015004,1,0.486273,-0.412442,1.392197,157.000000,2.013863,2
1782434556.015004,1,0.442835,-0.372034,1.188541,204.000000,2.013886,2
1782434556.015004,1,0.473590,-0.395676,1.189739,210.000000,2.013909,2
1782434556.015004,1,0.468756,-0.388928,1.107261,167.000000,2.013932,2
1782434556.015004,1,0.494658,-0.408269,1.098644,216.000000,2.013956,2
1782434556.015004,1,0.489441,-0.401388,1.026034,209.000000,2.013979,2
1782434556.015004,1,0.469015,-0.381996,0.930672,162.000000,2.014002,2
1782434556.015004,1,0.462094,-0.374069,0.868319,165.000000,2.014025,2
1782434556.015004,1,0.452921,-0.364425,0.807147,177.000000,2.014048,2
1782434556.015004,1,0.450744,-0.360658,0.762064,173.000000,2.014071,2
1782434556.015004,1,0.451534,-0.359384,0.724598,234.000000,2.014094,2
1782434556.015004,1,0.461452,-0.365554,0.702553,215.000000,2.014117,2
1782434556.015004,1,0.485751,-0.383287,0.700742,237.000000,2.014141,2
1782434556.015004,1,0.494413,-0.388320,0.677229,218.000000,2.014164,2
1782434556.015004,1,0.438603,-0.341836,0.575608,160.000000,2.014187,2
1782434556.015004,1,0.428094,-0.331821,0.535354,218.000000,2.014210,2
1782434556.015004,1,0.483992,-0.374447,0.570551,229.000000,2.014233,2
1782434556.015004,1,0.547265,-0.422494,0.608056,241.000000,2.014256,2
1782434556.015004,1,0.542198,-0.416549,0.572651,220.000000,2.014279,2
1782434556.015004,1,0.474928,-0.362142,0.481369,183.000000,2.014302,2
1782434556.015004,1,0.441730,-0.334698,0.428030,191.000000,2.014326,2
1782434556.015004,1,0.337030,-0.252226,0.319801,156.000000,2.014349,2
1782434556.015004,1,0.362054,-0.270340,0.323395,168.000000,2.014372,2
1782434556.015004,1,0.459562,-0.343840,0.378342,215.000000,2.014395,2
1782434556.015004,1,0.487311,-0.363477,0.377124,224.000000,2.014418,2
1782434556.015004,1,0.447386,-0.331540,0.330489,218.000000,2.014441,2
1782434556.015004,1,0.453901,-0.335003,0.315816,217.000000,2.014464,2
1782434556.015004,1,0.460119,-0.338214,0.300958,184.000000,2.014488,2
1782434556.015004,1,0.501469,-0.367737,0.304435,200.000000,2.014511,2
1782434556.015004,1,0.521707,-0.381244,0.294936,223.000000,2.014534,2
1782434556.015004,1,0.520017,-0.378335,0.274569,223.000000,2.014557,2
1782434556.015004,1,0.525456,-0.380723,0.257658,223.000000,2.014580,2
1782434556.015004,1,0.523605,-0.377717,0.238017,223.000000,2.014603,2
1782434556.015004,1,0.528279,-0.379520,0.221053,223.000000,2.014626,2
1782434556.015004,1,0.554565,-0.397097,0.210592,198.000000,2.014649,2
1782434556.015004,1,0.573711,-0.409326,0.196693,226.000000,2.014673,2
1782434556.015004,1,0.570406,-0.405177,0.176526,227.000000,2.014696,2
1782434556.015004,1,0.573830,-0.405912,0.158168,226.000000,2.014719,2
1782434556.015004,1,0.576866,-0.406355,0.139732,226.000000,2.014742,2
1782434556.015004,1,0.487339,-0.340562,0.108945,235.000000,2.014765,2
1782434556.015004,1,0.180778,-0.120691,0.062313,223.000000,2.014788,2
1782434556.015004,1,0.111307,-0.070873,0.051839,130.000000,2.014811,2
1782434556.015004,1,0.111571,-0.070736,0.048386,88.000000,2.014834,2
1782434556.015004,1,0.111760,-0.070547,0.044932,87.000000,2.014858,2
1782434556.015004,1,0.140087,-0.079169,0.052925,83.000000,14.032825,3
1782434556.015004,1,0.207501,-0.113167,0.063093,93.000000,14.032847,3
1782434556.015004,1,0.333169,-0.176369,0.084112,118.000000,14.032870,3
1782434556.015004,1,0.408600,-0.213587,0.105188,119.000000,14.032893,3
1782434556.015004,1,0.424237,-0.220401,0.120206,123.000000,14.032916,3
1782434556.015004,1,0.439470,-0.226936,0.136154,152.000000,14.032939,3
1782434556.015004,1,0.504194,-0.257994,0.164867,173.000000,14.032962,3
1782434556.015004,1,0.584517,-0.296441,0.201824,163.000000,14.032985,3
1782434556.015004,1,0.621953,-0.313380,0.231088,172.000000,14.033008,3
1782434556.015004,1,0.617986,-0.309862,0.249252,160.000000,14.033031,3
1782434556.015004,1,0.670872,-0.334048,0.287978,209.000000,14.033053,3
